#####################
#
# measurement of 406
#
#date 19-Aug-2025, 12:22:23
#Keithley source smua
#Source in voltage injection mode
#Steps in sweep 101
#Sweep repeat for 1 times
#Start value for sweep -1.0 V
#End value for sweep 1.0 V
#Limit for sweep step 0.5 A
#Measurement stabilization period is done in AUTO mode
#NPLC value 10.0 ms (for detected line frequency 50 Hz is 0.5)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: 406-CTLM-FLAT
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 4 point measurement mode
#
IS_4pr, VS_4pr
-2.635413408279e-01,-1.000039339066e+00
-2.612023353577e-01,-9.800071716309e-01
-2.543814182282e-01,-9.600169658661e-01
-2.542915344238e-01,-9.400172233581e-01
-2.482525110245e-01,-9.200320243835e-01
-2.485923767090e-01,-8.999960422516e-01
-2.421880960465e-01,-8.800482749939e-01
-2.426718473434e-01,-8.600132465362e-01
-2.361820936203e-01,-8.400321006775e-01
-2.366757392883e-01,-8.200321197510e-01
-2.300556898117e-01,-8.000462055206e-01
-2.309397459030e-01,-7.800090312958e-01
-2.239954471588e-01,-7.600195407867e-01
-2.248450517654e-01,-7.400214672089e-01
-2.178407907486e-01,-7.200317382812e-01
-2.188287973404e-01,-6.999993324280e-01
-2.114335298538e-01,-6.800410747528e-01
-2.125995159149e-01,-6.600136756897e-01
-2.051829099655e-01,-6.400196552277e-01
-2.063518762588e-01,-6.200263500214e-01
-1.987606287003e-01,-6.000328063965e-01
-2.002698183060e-01,-5.800054073334e-01
-1.924989223480e-01,-5.600562095642e-01
-1.939530372620e-01,-5.400247573853e-01
-1.861528158188e-01,-5.200331211090e-01
-1.877757310867e-01,-5.000410079956e-01
-1.796863079071e-01,-4.800398349762e-01
-1.815416812897e-01,-4.600152969360e-01
-1.733891963959e-01,-4.400553703308e-01
-1.752041578293e-01,-4.200379848480e-01
-1.669993400574e-01,-4.000406265259e-01
-1.690679788590e-01,-3.800091743469e-01
-1.606786251068e-01,-3.600513935089e-01
-1.627584695816e-01,-3.400249481201e-01
-1.544784307480e-01,-3.200211524963e-01
-1.566958427429e-01,-3.000357151032e-01
-1.481699943542e-01,-2.800340652466e-01
-1.505225896835e-01,-2.600121498108e-01
-1.420900821686e-01,-2.400443553925e-01
-1.443951129913e-01,-2.200171947479e-01
-1.358695030212e-01,-1.999348402023e-01
-1.383917331696e-01,-1.800166815519e-01
-1.297919750214e-01,-1.600261032581e-01
-1.322274208069e-01,-1.400197744369e-01
-1.237899065018e-01,-1.200287863612e-01
-1.262619495392e-01,-1.000262722373e-01
-1.176736354828e-01,-8.003349602222e-02
-1.202721595764e-01,-6.003427505493e-02
-1.118450164795e-01,-4.004478454590e-02
-1.142874956131e-01,-2.003824710846e-02
-1.058892011643e-01,1.196861285280e-05
-1.084827184677e-01,1.997726038098e-02
-1.001133918762e-01,3.997514396906e-02
-1.026098728180e-01,5.997431278229e-02
-2.227153815329e-02,8.001976460218e-02
-2.161197736859e-02,1.000026017427e-01
-2.213924005628e-02,1.199900135398e-01
-2.030489407480e-02,1.399959325790e-01
-2.046909369528e-02,1.599837541580e-01
-1.850570552051e-02,1.799897998571e-01
-1.864985190332e-02,1.999810189009e-01
-1.653505675495e-02,2.202200889587e-01
-1.675429381430e-02,2.399041652679e-01
-1.487184781581e-02,2.599301338196e-01
-1.503939647228e-02,2.799279689789e-01
-1.317846775055e-02,2.999160289764e-01
-1.337274350226e-02,3.199152946472e-01
-1.158740557730e-02,3.399393558502e-01
-1.174805220217e-02,3.599033355713e-01
-1.004755496979e-02,3.799324035645e-01
-1.023062504828e-02,3.999283313751e-01
-9.432743303478e-03,4.199128150940e-01
-7.899627089500e-03,4.399402141571e-01
-8.027114905417e-03,4.599218368530e-01
-6.475850008428e-03,4.799294471741e-01
-6.600204389542e-03,4.999108314514e-01
-5.084854084998e-03,5.199534893036e-01
-5.166954826564e-03,5.398955345154e-01
-3.712857840583e-03,5.599379539490e-01
-3.797135315836e-03,5.799176692963e-01
-2.373721450567e-03,5.999214649200e-01
-2.442165510729e-03,6.199018955231e-01
-1.133431214839e-03,6.399393081665e-01
-1.171172829345e-03,6.598851680756e-01
-5.570922803599e-05,6.799275875092e-01
-1.367679760733e-05,6.999430656433e-01
-5.907081401801e-08,7.199120521545e-01
-8.727037936751e-08,7.399477958679e-01
-9.315912393504e-06,7.599604129791e-01
-9.194533959089e-06,7.799403667450e-01
-9.122677511186e-06,7.999441623688e-01
-8.532948413631e-06,8.199484348297e-01
-7.616061793669e-06,8.399188518524e-01
-7.019544682407e-06,8.599541187286e-01
-6.974905772950e-06,8.799645900726e-01
-6.945663699298e-06,8.999385833740e-01
-6.400231995940e-06,9.199290275574e-01
-5.564576440520e-06,9.399530887604e-01
-5.068478458270e-06,9.599518775940e-01
-5.104374849907e-06,9.799640178680e-01
-5.121927188156e-06,9.999673366547e-01
