######################
#
# measurement of test sample
#
#date 12-Jun-2025, 09:04:40
#Keithley source not
#Source in current injection mode
#Steps in sweep 1
#Sweep repeat for 1 times
#Start value for sweep -0.5 A
#End value for sweep 0.5 A
#Limit for sweep step 1.0 V
#Measurement stabilization period is done in AUTO mode
#NPLC value 20.0 ms (for detected line frequency 50 Hz is 1.0)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: test comment to test out saving sweep settings to ini file
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 2 point measurement mode
#
#IS_2pr, VS_2pr
-0.00000000,0.00001080
-0.00000000,0.02223900
-0.00000000,0.04446000
-0.00000000,0.06667900
-0.00000000,0.08890300
-0.00000000,0.11113000
-0.00000000,0.13335000
-0.00000000,0.15557000
-0.00000000,0.17779000
-0.00000000,0.20000000
0.00000000,0.22225000
-0.00000000,0.24448000
-0.00000000,0.26671000
-0.00000000,0.28890000
-0.00000000,0.31114000
-0.00000000,0.33337000
-0.00000000,0.35560000
-0.00000000,0.37783000
-0.00000000,0.40007000
0.00000000,0.42230000
0.00000000,0.44449000
0.00000000,0.46673000
0.00000000,0.48895000
0.00000000,0.51119000
0.00000000,0.53342000
0.00000000,0.55565000
0.00000000,0.57784000
0.00000001,0.60007000
0.00000001,0.62230000
0.00000001,0.64453000
0.00000002,0.66676000
0.00000002,0.68899000
0.00000003,0.71122000
0.00000004,0.73340000
0.00000006,0.75564000
0.00000008,0.77786000
0.00000010,0.80009000
0.00000014,0.82232000
0.00000019,0.84454000
0.00000026,0.86674000
0.00000036,0.88896000
0.00000051,0.91119000
0.00000078,0.93342000
0.00000127,0.95565000
0.00000223,0.97788000
0.00000411,1.00010000
0.00000773,1.02230000
0.00001419,1.04450000
0.00002464,1.06680000
0.00003994,1.08900000
0.00006053,1.11120000
0.00008673,1.13340000
0.00011891,1.15560000
0.00015781,1.17790000
0.00020408,1.20010000
0.00025851,1.22230000
0.00032188,1.24450000
0.00039498,1.26680000
0.00047859,1.28900000
0.00057410,1.31120000
0.00068265,1.33340000
0.00080561,1.35560000
0.00094452,1.37790000
0.00110130,1.40010000
0.00127790,1.42230000
0.00147680,1.44450000
0.00170080,1.46670000
0.00195270,1.48890000
0.00223480,1.51120000
0.00255020,1.53340000
0.00290150,1.55560000
0.00329080,1.57780000
0.00372210,1.60000000
0.00419760,1.62230000
0.00472020,1.64450000
0.00529240,1.66670000
0.00591680,1.68890000
0.00659640,1.71120000
0.00733180,1.73340000
0.00812820,1.75560000
0.00898680,1.77780000
0.00990950,1.80000000
0.01089900,1.82230000
0.01195500,1.84450000
0.01308000,1.86670000
0.01427800,1.88890000
0.01555000,1.91110000
0.01689600,1.93330000
0.01831700,1.95560000
0.01981600,1.97780000
0.02139000,2.00000000
0.02303400,2.02210000
0.02477000,2.04430000
0.02658900,2.06660000
0.02849000,2.08890000
0.03047300,2.11110000
0.03254200,2.13340000
0.03469300,2.15560000
0.03692800,2.17790000
0.03921200,2.19980000
