#####################
#
# measurement of 406
#
#date 19-Aug-2025, 12:32:23
#Keithley source smua
#Source in voltage injection mode
#Steps in sweep 101
#Sweep repeat for 1 times
#Start value for sweep -1.0 V
#End value for sweep 1.0 V
#Limit for sweep step 0.5 A
#Measurement stabilization period is done in AUTO mode
#NPLC value 10.0 ms (for detected line frequency 50 Hz is 0.5)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: 406-CTLM-FLAT
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 4 point measurement mode
#
IS_4pr, VS_4pr
-1.501132249832e-01,-1.000019550324e+00
-1.464322805405e-01,-9.800188541412e-01
-1.426599025726e-01,-9.600217342377e-01
-1.388927698135e-01,-9.400272369385e-01
-1.351622343063e-01,-9.200446605682e-01
-1.314256191254e-01,-8.999931812286e-01
-1.278301477432e-01,-8.800470829010e-01
-1.242130994797e-01,-8.600299358368e-01
-1.206638813019e-01,-8.400163650513e-01
-1.171894073486e-01,-8.200469017029e-01
-1.137298345566e-01,-8.000347614288e-01
-1.103017330170e-01,-7.800238132477e-01
-1.068899631500e-01,-7.600102424622e-01
-1.035124063492e-01,-7.400348186493e-01
-1.001737117767e-01,-7.200160026550e-01
-9.639521688223e-02,-7.000138759613e-01
-9.312657266855e-02,-6.800374984741e-01
-8.987211436033e-02,-6.600337028503e-01
-8.665187656879e-02,-6.400165557861e-01
-8.346768468618e-02,-6.200394630432e-01
-8.031060546637e-02,-6.000285148621e-01
-7.718167454004e-02,-5.799880027771e-01
-7.411009073257e-02,-5.600314140320e-01
-7.106206566095e-02,-5.400469303131e-01
-6.804724782705e-02,-5.200452804565e-01
-6.506305932999e-02,-5.000512599945e-01
-6.211245059967e-02,-4.800400733948e-01
-5.919824913144e-02,-4.600353240967e-01
-5.632424354553e-02,-4.400529861450e-01
-5.348074436188e-02,-4.200439453125e-01
-5.067217350006e-02,-4.000241756439e-01
-4.790686443448e-02,-3.800318241119e-01
-4.517698287964e-02,-3.600454330444e-01
-4.247836023569e-02,-3.400440216064e-01
-3.980938345194e-02,-3.200156688690e-01
-3.718522936106e-02,-3.000540733337e-01
-3.458258137107e-02,-2.800333499908e-01
-3.202128410339e-02,-2.600450515747e-01
-2.948992326856e-02,-2.400445938110e-01
-2.697231806815e-02,-2.200460433960e-01
-2.446634881198e-02,-1.999164819717e-01
-2.199469879270e-02,-1.800225079060e-01
-1.953553035855e-02,-1.600283384323e-01
-1.708794943988e-02,-1.400234550238e-01
-1.465011853725e-02,-1.200296208262e-01
-1.221699733287e-02,-1.000378355384e-01
-9.780970402062e-03,-8.001341670752e-02
-7.349303923547e-03,-6.004214286804e-02
-4.909983836114e-03,-4.005014896393e-02
-2.461328404024e-03,-2.004568651319e-02
3.092686938544e-06,2.956390517284e-06
2.468638354912e-03,1.999304257333e-02
4.949308466166e-03,4.000232368708e-02
7.443574722856e-03,6.000480800867e-02
9.949493221939e-03,8.000168949366e-02
1.247209310532e-02,1.000018864870e-01
1.500965375453e-02,1.200009137392e-01
1.756742037833e-02,1.400029659271e-01
2.012921683490e-02,1.599671840668e-01
2.273999527097e-02,1.800524741411e-01
2.535803429782e-02,2.000278979540e-01
2.799048461020e-02,2.199451923370e-01
3.064897097647e-02,2.399249076843e-01
3.334167227149e-02,2.599477767944e-01
3.605684265494e-02,2.799496650696e-01
3.880165889859e-02,2.999253273010e-01
4.158017784357e-02,3.199472427368e-01
4.438669607043e-02,3.399510383606e-01
4.721131548286e-02,3.599123954773e-01
5.006925016642e-02,3.799536228180e-01
5.297440290451e-02,3.999667167664e-01
5.591128021479e-02,4.199490547180e-01
5.889045074582e-02,4.399812221527e-01
6.188973411918e-02,4.599447250366e-01
6.492651998997e-02,4.799575805664e-01
6.799700111151e-02,4.999547004700e-01
7.110809534788e-02,5.199837684631e-01
7.424046844244e-02,5.399482250214e-01
7.742899656296e-02,5.599751472473e-01
8.062046766281e-02,5.799708366394e-01
8.385377377272e-02,5.999536514282e-01
8.711774647236e-02,6.199529170990e-01
9.042289108038e-02,6.399703025818e-01
9.375909715891e-02,6.599643230438e-01
9.712117165327e-02,6.799621582031e-01
1.001855134964e-01,6.999435424805e-01
1.035343408585e-01,7.199263572693e-01
1.069651842117e-01,7.399423122406e-01
1.104685068130e-01,7.599413394928e-01
1.139656305313e-01,7.799303531647e-01
1.175189018250e-01,7.999427318573e-01
1.210844516754e-01,8.199589252472e-01
1.246707439423e-01,8.399307727814e-01
1.283024549484e-01,8.599495887756e-01
1.319663524628e-01,8.799526691437e-01
1.356420516968e-01,8.999395370483e-01
1.393581628799e-01,9.199354648590e-01
1.431103944778e-01,9.399514198303e-01
1.468981504440e-01,9.599442481995e-01
1.506941318512e-01,9.799532890320e-01
1.545197963715e-01,9.999713897705e-01
