#####################
#
# measurement of 406
#
#date 19-Aug-2025, 12:20:54
#Keithley source smua
#Source in voltage injection mode
#Steps in sweep 101
#Sweep repeat for 1 times
#Start value for sweep -1.0 V
#End value for sweep 1.0 V
#Limit for sweep step 0.5 A
#Measurement stabilization period is done in AUTO mode
#NPLC value 10.0 ms (for detected line frequency 50 Hz is 0.5)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: 406-CTLM-FLAT
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 4 point measurement mode
#
IS_4pr, VS_4pr
-3.026568889618e-01,-1.000003814697e+00
-3.031218051910e-01,-9.800162315369e-01
-2.999150753021e-01,-9.599752426147e-01
-3.004728555679e-01,-9.400286674499e-01
-2.972186803818e-01,-9.199934005737e-01
-2.967762947083e-01,-9.000093936920e-01
-2.934542894363e-01,-8.800060749054e-01
-2.934234142304e-01,-8.600413799286e-01
-2.905541658401e-01,-8.399956226349e-01
-2.898818254471e-01,-8.200516700745e-01
-2.870317697525e-01,-8.000116348267e-01
-2.867083549500e-01,-7.800259590149e-01
-2.836232185364e-01,-7.599868774414e-01
-2.830321788788e-01,-7.400438785553e-01
-2.800617218018e-01,-7.199964523315e-01
-2.790753841400e-01,-7.000176906586e-01
-2.759459018707e-01,-6.800110340118e-01
-2.746788263321e-01,-6.600246429443e-01
-2.719686031342e-01,-6.399924755096e-01
-2.707350254059e-01,-6.200435161591e-01
-2.681816816330e-01,-6.000063419342e-01
-2.668415307999e-01,-5.800251960754e-01
-2.641934156418e-01,-5.600247383118e-01
-2.626162767410e-01,-5.400409698486e-01
-2.603076696396e-01,-5.200040340424e-01
-2.587261199951e-01,-5.000598430634e-01
-2.563734054565e-01,-4.800174236298e-01
-2.547321319580e-01,-4.600307941437e-01
-2.525831460953e-01,-4.400241374970e-01
-2.506896257400e-01,-4.200551509857e-01
-2.486224174500e-01,-4.000046253204e-01
-2.466627359390e-01,-3.800234794617e-01
-2.445726394653e-01,-3.600184917450e-01
-2.424957752228e-01,-3.400344848633e-01
-2.406381368637e-01,-3.199882507324e-01
-2.383376359940e-01,-3.000490665436e-01
-2.365171909332e-01,-2.800061702728e-01
-2.342003583908e-01,-2.600305080414e-01
-2.325125932694e-01,-2.400152683258e-01
-2.299451828003e-01,-2.200360298157e-01
-2.284767627716e-01,-1.999179869890e-01
-2.257245779038e-01,-1.800359487534e-01
-2.242720127106e-01,-1.600130349398e-01
-2.214001417160e-01,-1.400388479233e-01
-2.201658487320e-01,-1.200150772929e-01
-2.171856164932e-01,-1.000435575843e-01
-2.160958051681e-01,-8.002033084631e-02
-2.130874395371e-01,-6.004781648517e-02
-2.120676040649e-01,-4.002914577723e-02
-2.088559865952e-01,-2.005357854068e-02
-2.081294059753e-01,1.378059369017e-05
-2.047473192215e-01,1.994996145368e-02
-2.040503025055e-01,3.997566923499e-02
-2.005504369736e-01,5.994858965278e-02
-2.000179290771e-01,7.997775077820e-02
-1.963320970535e-01,9.995146095753e-02
-1.958985328674e-01,1.199779286981e-01
-1.921759843826e-01,1.399506181479e-01
-1.918144226074e-01,1.599730104208e-01
-1.879086494446e-01,1.799480021000e-01
-1.877373456955e-01,1.999707072973e-01
-1.837373971939e-01,2.207171916962e-01
-1.836373806000e-01,2.399077415466e-01
-1.795449256897e-01,2.599015235901e-01
-1.796082258225e-01,2.799355983734e-01
-1.753054857254e-01,2.998805046082e-01
-1.754542589188e-01,3.199200630188e-01
-1.711715459824e-01,3.399066925049e-01
-1.713806390762e-01,3.599083423614e-01
-1.669209003448e-01,3.799006938934e-01
-1.673220396042e-01,3.999361991882e-01
-1.628271341324e-01,4.198942184448e-01
-1.631864309311e-01,4.399230480194e-01
-1.586613655090e-01,4.599108695984e-01
-1.592090129852e-01,4.799137115479e-01
-1.544587612152e-01,4.998991489410e-01
-1.550811529160e-01,5.199389457703e-01
-1.503754854202e-01,5.398895740509e-01
-1.510117053986e-01,5.599260330200e-01
-1.461606025696e-01,5.799055099487e-01
-1.470007896423e-01,5.999033451080e-01
-1.420636177063e-01,6.198930740356e-01
-1.428560018539e-01,6.399245262146e-01
-1.379356384277e-01,6.598794460297e-01
-1.388759613037e-01,6.799137592316e-01
-1.337742805481e-01,6.999015808105e-01
-1.348021030426e-01,7.199029922485e-01
-1.297557353973e-01,7.398998737335e-01
-1.307783126831e-01,7.599279880524e-01
-1.256449222565e-01,7.798883914947e-01
-1.268588304520e-01,7.999165058136e-01
-1.216071844101e-01,8.199162483215e-01
-1.227829456329e-01,8.398962020874e-01
-1.175823211670e-01,8.599069118500e-01
-1.188414096832e-01,8.799211978912e-01
-1.135052442551e-01,8.998875617981e-01
-1.148408651352e-01,9.199073314667e-01
-1.095408201218e-01,9.399147033691e-01
-1.108576059341e-01,9.599142074585e-01
-1.054775714874e-01,9.799106121063e-01
-1.069352626801e-01,9.999325275421e-01
