#####################
#
# measurement of 406C1000FC-Otso
#
#date 18-Aug-2025, 15:59:17
#Keithley source smua
#Source in voltage injection mode
#Steps in sweep 101
#Sweep repeat for 1 times
#Start value for sweep -1.0 V
#End value for sweep 2.0 V
#Limit for sweep step 1.0 A
#Measurement stabilization period is done in AUTO mode
#NPLC value 10.0 ms (for detected line frequency 50 Hz is 0.5)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: pyIVLS test run
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 4 point measurement mode
#
IS_4pr, VS_4pr
1.879007811567e-07,-1.000046253204e+00
1.871623993566e-07,-9.700381755829e-01
1.865347627472e-07,-9.400289058685e-01
1.857849412090e-07,-9.100258350372e-01
1.853365887428e-07,-8.800177574158e-01
1.846505455205e-07,-8.500230312347e-01
1.842167307586e-07,-8.200268745422e-01
1.835951763951e-07,-7.899787425995e-01
1.829317852753e-07,-7.599706649780e-01
1.815402441707e-07,-7.299747467041e-01
1.792454753513e-07,-6.999742984772e-01
1.757227181542e-07,-6.699812412262e-01
1.718816804441e-07,-6.399745941162e-01
1.682610530907e-07,-6.099781990051e-01
1.640819249360e-07,-5.799779891968e-01
1.605535686622e-07,-5.499775409698e-01
1.563373785984e-07,-5.199899673462e-01
1.519210286460e-07,-4.899852275848e-01
1.468580990149e-07,-4.599978923798e-01
1.415556596385e-07,-4.300005435944e-01
1.357780661237e-07,-3.999974727631e-01
1.298494396451e-07,-3.699932098389e-01
1.245238792080e-07,-3.399996757507e-01
1.184434879065e-07,-3.099973201752e-01
1.123929038727e-07,-2.799944877625e-01
1.055866505340e-07,-2.499952316284e-01
1.143257666314e-08,-2.201604843140e-01
-2.122449949127e-08,-1.898542940617e-01
2.949475153002e-08,-1.601322889328e-01
-3.785014257574e-08,-1.298824846744e-01
4.531524311346e-08,-1.001149192452e-01
-5.208945452750e-08,-6.992604583502e-02
5.744259468088e-08,-4.007544741035e-02
-6.164150079258e-08,-9.966755285859e-03
6.526251894456e-08,1.999075524509e-02
-6.716251732541e-08,5.000927671790e-02
6.719618994566e-08,8.003502339125e-02
-6.508165739660e-08,1.099548861384e-01
6.089730675285e-08,1.400746554136e-01
-5.531343205689e-08,1.699173748493e-01
4.805895059690e-08,2.001065015793e-01
-3.839093665192e-08,2.298014163971e-01
2.856162772957e-08,2.600851058960e-01
-1.829065077175e-08,2.897827625275e-01
7.732141149575e-09,3.200936317444e-01
2.612924543399e-09,3.497822284699e-01
-1.283022221799e-08,3.800952434540e-01
2.258956399714e-08,4.098062515259e-01
-3.176052487674e-08,4.400801658630e-01
3.998226105750e-08,4.698240756988e-01
-4.668779496342e-08,5.000476837158e-01
5.235879640964e-08,5.298552513123e-01
-5.686727888587e-08,5.600280761719e-01
6.083537584800e-08,5.898807048798e-01
-6.349800685257e-08,6.199719905853e-01
6.649877093423e-08,6.499235630035e-01
-6.565934285163e-08,6.799268722534e-01
7.065594331834e-08,7.099814414978e-01
-4.776974904530e-08,7.398624420166e-01
-2.318310698968e-08,7.699472904205e-01
2.529188520839e-07,7.999453544617e-01
4.035973404371e-07,8.299331665039e-01
7.450387329300e-07,8.599295616150e-01
1.232165118381e-06,8.899326324463e-01
3.092434326391e-06,9.199149608612e-01
8.128581612254e-06,9.499175548554e-01
2.090601810778e-05,9.799318313599e-01
5.593113746727e-05,1.009931802750e+00
1.533169852337e-04,1.039925575256e+00
4.205298610032e-04,1.069919586182e+00
1.142028602772e-03,1.099923372269e+00
3.010195447132e-03,1.129931926727e+00
7.511329371482e-03,1.159918308258e+00
1.763697899878e-02,1.189925909042e+00
3.898055478930e-02,1.219928503036e+00
8.069167286158e-02,1.249943494797e+00
1.529104709625e-01,1.279927968979e+00
2.592116594315e-01,1.309924602509e+00
4.004766941071e-01,1.339927196503e+00
5.769519805908e-01,1.369945287704e+00
7.992508411407e-01,1.399931192398e+00
9.998586177826e-01,1.418531894684e+00
9.998492002487e-01,1.415624380112e+00
9.998645782471e-01,1.413832664490e+00
9.998619556427e-01,1.412461757660e+00
9.998658895493e-01,1.411514759064e+00
9.998790025711e-01,1.410616874695e+00
9.998711347580e-01,1.409853219986e+00
9.998726844788e-01,1.409103631973e+00
9.998743534088e-01,1.408435583115e+00
9.998635053635e-01,1.407825708389e+00
9.998729228973e-01,1.407228469849e+00
9.998769760132e-01,1.406662225723e+00
9.998693466187e-01,1.406130075455e+00
9.998749494553e-01,1.405610799789e+00
9.998725652695e-01,1.405118703842e+00
9.998688697815e-01,1.404655694961e+00
9.998832941055e-01,1.404198169708e+00
9.998754262924e-01,1.403748750687e+00
9.998755455017e-01,1.403313159943e+00
9.998823404312e-01,1.402895450592e+00
