#####################
#
# measurement of 406FG1000-flat-pyIVLS
#
#date 18-Aug-2025, 11:08:33
#Keithley source smua
#Source in voltage injection mode
#Steps in sweep 101
#Sweep repeat for 1 times
#Start value for sweep -1.0 V
#End value for sweep 2.0 V
#Limit for sweep step 0.15 A
#Measurement stabilization period is done in AUTO mode
#NPLC value 10.0 ms (for detected line frequency 50 Hz is 0.5)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: pyIVLS automated sweep test on a new sample
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 4 point measurement mode
#
IS_4pr, VS_4pr
-1.112769823521e-02,-1.000112771988e+00
-1.041564997286e-02,-9.701106548309e-01
-1.066859997809e-02,-9.401102066040e-01
-1.071157492697e-02,-9.101030826569e-01
-1.048051100224e-02,-8.801124095917e-01
-9.976366534829e-03,-8.501160144806e-01
-9.433177299798e-03,-8.201160430908e-01
-8.400872349739e-03,-7.900843620300e-01
-7.869363762438e-03,-7.600755691528e-01
-6.827408913523e-03,-7.300908565521e-01
-6.306453607976e-03,-7.000758647919e-01
-5.282281432301e-03,-6.700956821442e-01
-4.793832078576e-03,-6.400840282440e-01
-3.809531917795e-03,-6.100957393646e-01
-3.374731400981e-03,-5.800909996033e-01
-2.478185808286e-03,-5.500953197479e-01
-2.114230301231e-03,-5.200929641724e-01
-1.384509727359e-03,-4.901094436646e-01
-1.128396950662e-03,-4.600958824158e-01
-1.885788515210e-04,-4.301006793976e-01
-1.455937745050e-04,-4.000992774963e-01
-1.205988010042e-04,-3.700962066650e-01
-1.072788290912e-04,-3.400979042053e-01
-8.495469228365e-05,-3.100969791412e-01
-7.627806189703e-05,-2.800912857056e-01
-5.853550464963e-05,-2.500884532929e-01
-4.527900091489e-05,-2.200913429260e-01
-4.114782859688e-05,-1.900800317526e-01
-3.525146166794e-05,-1.600767225027e-01
-2.761561881925e-05,-1.300780773163e-01
-2.428458901704e-05,-1.000891923904e-01
-2.248482633149e-05,-7.008963078260e-02
-1.851884007920e-05,-4.008796438575e-02
-1.542065183457e-05,-1.009533461183e-02
-1.442516986572e-05,2.002394199371e-02
-1.261614488612e-05,5.002744123340e-02
-1.003365468932e-05,8.002474159002e-02
-3.603844561439e-06,1.100287213922e-01
-3.486690502541e-06,1.400345563889e-01
-3.433240635786e-06,1.700263023377e-01
-3.244939989600e-06,2.000211328268e-01
-2.908526539613e-06,2.299664020538e-01
-2.638599880811e-06,2.599627971649e-01
-2.546449877627e-06,2.899649143219e-01
-2.513458639441e-06,3.199698925018e-01
-2.359305653954e-06,3.499600887299e-01
-2.062365865641e-06,3.799672126770e-01
-1.822391709538e-06,4.099731445312e-01
-1.768144329617e-06,4.399714469910e-01
-1.762838337527e-06,4.699652194977e-01
-1.635080479900e-06,4.999604225159e-01
-1.384845973007e-06,5.299611091614e-01
-1.187211296383e-06,5.599689483643e-01
-1.157216956926e-06,5.899608135223e-01
-1.189223553411e-06,6.199548244476e-01
-1.095864718081e-06,6.499536037445e-01
-1.080746642401e-06,6.799647808075e-01
-1.096706341741e-06,7.099676132202e-01
-1.095143488783e-06,7.399630546570e-01
-1.066055233423e-06,7.699584960938e-01
-1.007463879432e-06,7.999730110169e-01
-1.040711367750e-06,8.299717903137e-01
-1.133626710725e-06,8.599765300751e-01
-1.413896029590e-06,8.899741172790e-01
-1.389060003021e-06,9.199666976929e-01
-1.218107854584e-06,9.499695301056e-01
-1.317397277489e-06,9.799857139587e-01
-1.335180968454e-06,1.009978532791e+00
-1.266981371373e-06,1.039970636368e+00
-1.058096813722e-06,1.069965839386e+00
-1.231279384228e-06,1.099984645844e+00
-1.245651219506e-06,1.129981517792e+00
-1.128057192545e-06,1.159969568253e+00
-1.143573513218e-06,1.189983367920e+00
-1.163097635981e-06,1.219982147217e+00
-1.157011979558e-06,1.249975919724e+00
-1.126842448684e-06,1.279980659485e+00
-1.077966658158e-06,1.309971809387e+00
-1.112365680456e-06,1.339971542358e+00
-1.050274363479e-06,1.369969367981e+00
-1.020199078994e-06,1.399966955185e+00
-1.026604195431e-06,1.429971694946e+00
-1.050474566000e-06,1.459966421127e+00
-1.046415491146e-06,1.489962577820e+00
-1.432231670151e-06,1.519978046417e+00
-1.344614020127e-06,1.549965858459e+00
-1.121069203691e-06,1.579973936081e+00
-1.351290961793e-06,1.609976768494e+00
-1.356586153634e-06,1.639968872070e+00
-1.215655743181e-06,1.669966220856e+00
-1.286475594498e-06,1.699973344803e+00
-1.304657416767e-06,1.729959726334e+00
-1.269028189199e-06,1.759955883026e+00
-1.078602053894e-06,1.789955377579e+00
-1.230008592756e-06,1.819972276688e+00
-1.262516889256e-06,1.849967479706e+00
-1.180264916911e-06,1.879952669144e+00
-1.197513256557e-06,1.909955024719e+00
-1.211740936924e-06,1.939958810806e+00
-1.218727788910e-06,1.969956874847e+00
-1.072884742825e-06,1.999949932098e+00
