#####################
#
# measurement of 406FG1000-flat-pyIVLS
#
#date 15-Aug-2025, 10:37:00
#Keithley source smua
#Source in voltage injection mode
#Steps in sweep 401
#Sweep repeat for 1 times
#Start value for sweep -0.5 V
#End value for sweep 2.0 V
#Limit for sweep step 0.5 A
#Measurement stabilization period is done in AUTO mode
#NPLC value 20.0 ms (for detected line frequency 50 Hz is 1.0)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: pyIVLS automated sweep test on a new sample
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 4 point measurement mode
#
IS_4pr, VS_4pr
2.917110997203e-09,-5.000658035278e-01
2.441203683645e-09,-4.937918186188e-01
-1.126909232596e-08,-4.875493049622e-01
-3.961771710692e-08,-4.813055992126e-01
-7.368440435584e-08,-4.750294685364e-01
-6.928668881301e-06,-4.688012599945e-01
-7.121810540411e-06,-4.625644683838e-01
-7.310875389521e-06,-4.562909603119e-01
-7.501107120334e-06,-4.500567913055e-01
-7.691176506341e-06,-4.438140392304e-01
-7.873954928073e-06,-4.375391006470e-01
-8.052217708610e-06,-4.313099384308e-01
-8.228273145505e-06,-4.250702857971e-01
-8.406504093728e-06,-4.187996387482e-01
-8.587478077970e-06,-4.125618934631e-01
-8.762508514337e-06,-4.062778949737e-01
-8.935807272792e-06,-4.000458717346e-01
-9.111859981203e-06,-3.938062191009e-01
-9.280435733672e-06,-3.875367641449e-01
-9.452562153456e-06,-3.812899589539e-01
-9.624397534935e-06,-3.750574588776e-01
-9.796201993595e-06,-3.687756061554e-01
-9.963076990971e-06,-3.625373840332e-01
-7.084391545504e-04,-3.563053607941e-01
-7.197663071565e-04,-3.500268459320e-01
-7.304691243917e-04,-3.437924385071e-01
-7.406497607008e-04,-3.375556468964e-01
-7.505590328947e-04,-3.312768936157e-01
-7.599925156683e-04,-3.250422477722e-01
-7.691002101637e-04,-3.188064098358e-01
-7.783491746523e-04,-3.125278949737e-01
-7.875721785240e-04,-3.062925338745e-01
-7.964756805450e-04,-3.000547885895e-01
-8.050854667090e-04,-2.937736511230e-01
-8.140838472173e-04,-2.875387668610e-01
-8.231446845457e-04,-2.813057899475e-01
-8.315506274812e-04,-2.750322818756e-01
-8.404193213210e-04,-2.687947750092e-01
-8.491200860590e-04,-2.625558376312e-01
-8.579278364778e-04,-2.562789916992e-01
-8.669770322740e-04,-2.500417232513e-01
-8.756525930949e-04,-2.438004016876e-01
-8.842038223520e-04,-2.375237941742e-01
-8.933870121837e-04,-2.312898635864e-01
-9.020257275552e-04,-2.250549793243e-01
-9.103268967010e-04,-2.187697887421e-01
-9.194629383273e-04,-2.125356197357e-01
-9.282765677199e-04,-2.062981128693e-01
-9.370744810440e-04,-2.000121176243e-01
-9.455846739002e-04,-1.937603056431e-01
-9.545269422233e-04,-1.875146925449e-01
-9.636702015996e-04,-1.812656223774e-01
-9.724128758535e-04,-1.750150173902e-01
-9.812611388043e-04,-1.687677949667e-01
-9.901329176500e-04,-1.625161617994e-01
