#####################
#
# measurement of 406P1000FC-Otso
#
#date 18-Aug-2025, 15:56:25
#Keithley source smua
#Source in voltage injection mode
#Steps in sweep 101
#Sweep repeat for 1 times
#Start value for sweep -1.0 V
#End value for sweep 2.0 V
#Limit for sweep step 1.0 A
#Measurement stabilization period is done in AUTO mode
#NPLC value 10.0 ms (for detected line frequency 50 Hz is 0.5)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: pyIVLS test run
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 4 point measurement mode
#
IS_4pr, VS_4pr
1.822576507493e-07,-1.000058889389e+00
1.828902895795e-07,-9.700579643249e-01
1.837733947241e-07,-9.400503635406e-01
1.845775869924e-07,-9.100549221039e-01
1.853815376762e-07,-8.800539970398e-01
1.861249216972e-07,-8.500583171845e-01
1.869046712955e-07,-8.200583457947e-01
1.876023958403e-07,-7.900187969208e-01
1.883115743340e-07,-7.600193023682e-01
1.890473413368e-07,-7.300267219544e-01
1.896067800544e-07,-7.000212669373e-01
1.901205735067e-07,-6.700289249420e-01
1.906505815441e-07,-6.400239467621e-01
1.911829770052e-07,-6.100242137909e-01
1.915880432080e-07,-5.800318717956e-01
1.919313632470e-07,-5.500283241272e-01
1.923180832364e-07,-5.200355052948e-01
1.924446877410e-07,-4.900364875793e-01
1.929191313366e-07,-4.600365161896e-01
1.930074660095e-07,-4.300401210785e-01
1.931192912252e-07,-4.000387191772e-01
1.932745021804e-07,-3.700327873230e-01
1.933525766162e-07,-3.400382995605e-01
1.935372324624e-07,-3.100333213806e-01
1.933790372277e-07,-2.800350189209e-01
1.932401687554e-07,-2.500307559967e-01
1.931706634650e-07,-2.200286388397e-01
1.928992219291e-07,-1.900108903646e-01
1.925564987459e-07,-1.600129455328e-01
1.922339265548e-07,-1.300109624863e-01
1.919277963225e-07,-1.000117585063e-01
1.916484819731e-07,-7.001469284296e-02
1.911535321142e-07,-4.001920297742e-02
1.905854958295e-07,-1.001741923392e-02
1.894462116070e-07,1.999430730939e-02
1.890605716426e-07,4.999792575836e-02
1.885708513782e-07,7.999608665705e-02
1.882947628928e-07,1.099964380264e-01
1.879161573015e-07,1.400008499622e-01
1.879391646753e-07,1.700021475554e-01
1.870853907349e-07,2.000014781952e-01
1.858692115775e-07,2.299368381500e-01
1.849863480174e-07,2.599401473999e-01
1.836458380922e-07,2.899394035339e-01
1.819059889385e-07,3.199462890625e-01
1.800572846378e-07,3.499410152435e-01
1.780171459132e-07,3.799417018890e-01
1.760462566835e-07,4.099574089050e-01
1.734796768460e-07,4.399471282959e-01
1.712957669042e-07,4.699411392212e-01
1.687515975846e-07,4.999485015869e-01
1.663686077791e-07,5.299456119537e-01
1.642094815679e-07,5.599524974823e-01
1.619179244017e-07,5.899460315704e-01
1.599022141363e-07,6.199448108673e-01
1.584066211535e-07,6.499512195587e-01
1.580504118692e-07,6.799542903900e-01
1.602345633955e-07,7.099556922913e-01
1.696221829661e-07,7.399494647980e-01
1.984772666219e-07,7.699387073517e-01
2.686274171992e-07,7.999448776245e-01
4.384392582324e-07,8.299422264099e-01
8.133011988321e-07,8.599364757538e-01
1.358681856800e-06,8.899409770966e-01
3.328422280902e-06,9.199240207672e-01
8.606565643277e-06,9.499247074127e-01
2.185429366364e-05,9.799408912659e-01
5.783960659755e-05,1.009941577911e+00
1.569751620991e-04,1.039934635162e+00
4.277488333173e-04,1.069931745529e+00
1.157036982477e-03,1.099930286408e+00
3.045725869015e-03,1.129941701889e+00
7.614488247782e-03,1.159928798676e+00
1.799460686743e-02,1.189936637878e+00
4.036184772849e-02,1.219940900803e+00
8.558366447687e-02,1.249953746796e+00
1.666847467423e-01,1.279943943024e+00
2.880709171295e-01,1.309937715530e+00
4.516490697861e-01,1.339946269989e+00
6.613428592682e-01,1.369959831238e+00
9.615424871445e-01,1.399948596954e+00
9.998536109924e-01,1.399018764496e+00
9.998555183411e-01,1.396981716156e+00
9.998656511307e-01,1.395485639572e+00
9.998635053635e-01,1.394350051880e+00
9.998645782471e-01,1.393348932266e+00
9.998725652695e-01,1.392541408539e+00
9.998693466187e-01,1.391812562942e+00
9.998706579208e-01,1.391124486923e+00
9.998761415482e-01,1.390466451645e+00
9.998642206192e-01,1.389838457107e+00
9.998749494553e-01,1.389263629913e+00
9.998735189438e-01,1.388743638992e+00
9.998662471771e-01,1.388265848160e+00
9.998757839203e-01,1.387791872024e+00
9.998724460602e-01,1.387348651886e+00
9.998707771301e-01,1.386914968491e+00
9.998831748962e-01,1.386504888534e+00
9.998774528503e-01,1.386103153229e+00
9.998795986176e-01,1.385732889175e+00
9.998821020126e-01,1.385347843170e+00
