#####################
#
# measurement of {noname}
#
#date 18-Aug-2025, 16:13:33
#Keithley source smua
#Source in voltage injection mode
#Steps in sweep 101
#Sweep repeat for 1 times
#Start value for sweep -1.0 V
#End value for sweep 2.0 V
#Limit for sweep step 1.0 A
#Measurement stabilization period is done in AUTO mode
#NPLC value 10.0 ms (for detected line frequency 50 Hz is 0.5)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: pyIVLS test run
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 4 point measurement mode
#
IS_4pr, VS_4pr
-2.657220399271e-08,-1.000332593918e+00
2.436354229474e-08,-9.698159694672e-01
-2.201896975862e-08,-9.403059482574e-01
1.983226560753e-08,-9.098138809204e-01
-1.739271837664e-08,-8.803000450134e-01
1.482595202162e-08,-8.498253822327e-01
-1.190355991554e-08,-8.202815055847e-01
8.913636051489e-09,-7.898018360138e-01
-5.683541193235e-09,-7.602190971374e-01
1.544177563595e-09,-7.298367023468e-01
2.109634911207e-09,-7.001829147339e-01
-6.269133212555e-09,-6.698865890503e-01
9.991276250787e-09,-6.401431560516e-01
-1.370703017756e-08,-6.099030971527e-01
1.800180626788e-08,-5.801019668579e-01
-2.145292832267e-08,-5.499517917633e-01
2.498302542620e-08,-5.200483798981e-01
-2.810176624735e-08,-4.900553226471e-01
3.039632900936e-08,-4.599721431732e-01
-3.271423665296e-08,-4.301319122314e-01
3.445298801807e-08,-3.999538421631e-01
-3.663071268534e-08,-3.701303005218e-01
3.787498670249e-08,-3.399212360382e-01
-3.959398142683e-08,-3.101460933685e-01
4.073725889953e-08,-2.799177169800e-01
-4.168392564452e-08,-2.501440048218e-01
4.243722173669e-08,-2.199041843414e-01
-4.283663201932e-08,-1.901522427797e-01
4.317090684936e-08,-1.599234640598e-01
-4.323732838429e-08,-1.301628351212e-01
4.311205259455e-08,-9.992005676031e-02
-4.284117238740e-08,-7.017514854670e-02
4.212298421180e-08,-3.992440924048e-02
-4.161872979580e-08,-1.018474157900e-02
4.117763197087e-08,2.000916004181e-02
-4.014723486989e-08,4.977054521441e-02
4.068526138212e-08,8.000498265028e-02
-3.945529414295e-08,1.097628623247e-01
3.805550363722e-08,1.400074809790e-01
-3.638298551323e-08,1.697662323713e-01
3.448082352975e-08,1.999916583300e-01
-3.299212636421e-08,2.296595573425e-01
3.070933729532e-08,2.598841190338e-01
-2.833371226529e-08,2.896707057953e-01
2.604694415709e-08,3.198876380920e-01
-2.369160689852e-08,3.496713638306e-01
2.117669595236e-08,3.798751831055e-01
-1.878576227909e-08,4.096977710724e-01
1.632195711920e-08,4.398667812347e-01
-1.369003044260e-08,4.696912765503e-01
1.102036240042e-08,4.998567104340e-01
-8.291375586111e-09,5.296971797943e-01
5.319774398771e-09,5.598504543304e-01
-1.978123220780e-09,5.897150039673e-01
-1.680076189281e-09,6.198289394379e-01
5.545520931349e-09,6.497488021851e-01
-9.608495332714e-09,6.798155307770e-01
1.396806226239e-08,7.097780704498e-01
-1.873832999877e-08,7.397921085358e-01
2.361117701355e-08,7.697978019714e-01
-2.839916923847e-08,7.997515201569e-01
3.289789063388e-08,8.298814296722e-01
-3.673545023730e-08,8.597002029419e-01
3.991410935100e-08,8.898997306824e-01
-4.221017491091e-08,9.196884632111e-01
4.316197532717e-08,9.499132633209e-01
-4.271011277979e-08,9.796881675720e-01
4.188926183701e-08,1.009922981262e+00
-4.042265544513e-08,1.039680004120e+00
3.824660765872e-08,1.069906949997e+00
-3.534575654385e-08,1.099680185318e+00
3.175252771825e-08,1.129910707474e+00
-2.724653569430e-08,1.159703493118e+00
2.652363839673e-08,1.189917564392e+00
-2.110264318844e-08,1.219719648361e+00
1.552817785466e-08,1.249893903732e+00
-9.501218478647e-09,1.279728651047e+00
3.222537126035e-09,1.309854030609e+00
3.134644099845e-09,1.339745283127e+00
-1.044905229008e-08,1.369835138321e+00
1.403958815871e-08,1.399681329727e+00
-2.095988982376e-08,1.429857730866e+00
2.633282036868e-08,1.459814786911e+00
-3.095114209373e-08,1.489745140076e+00
3.491246758358e-08,1.519906520844e+00
-3.827866379424e-08,1.549694776535e+00
4.099897310539e-08,1.579907894134e+00
-4.274591347553e-08,1.609696865082e+00
4.319311486256e-08,1.639922142029e+00
-4.246394524898e-08,1.669688701630e+00
4.090651373190e-08,1.699932336807e+00
-3.848853324939e-08,1.729683876038e+00
3.512315771559e-08,1.759913444519e+00
-3.064539555453e-08,1.789688825607e+00
2.488547679036e-08,1.819895982742e+00
-1.827896767281e-08,1.849705457687e+00
1.129255267074e-08,1.879873752594e+00
-4.155254362814e-09,1.909728288651e+00
-3.345215437989e-09,1.939836025238e+00
1.088554846262e-08,1.969761610031e+00
-1.765999790848e-08,1.999797344208e+00
