#####################
#
# measurement of test sample
#
#date 25-Jun-2025, 15:14:41
#Keithley source real
#Source in current injection mode
#Steps in sweep 20
#Sweep repeat for 1 times
#Start value for sweep -0.5 A
#End value for sweep 0.5 A
#Limit for sweep step 1.0 V
#Measurement stabilization period is done in AUTO mode
#NPLC value 1.0 ms (for detected line frequency 50 Hz is 0.05)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: test comment to test out saving sweep settings to ini file
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 2 point measurement mode
#
IS_2pr, VS_2pr
-5.920200000000e-11,1.080000000000e-05
-1.481500000000e-10,2.223900000000e-02
-1.089200000000e-10,4.446000000000e-02
-1.231500000000e-10,6.667900000000e-02
-1.028900000000e-10,8.890300000000e-02
-1.080600000000e-10,1.111300000000e-01
-8.612000000000e-11,1.333500000000e-01
-8.341100000000e-11,1.555700000000e-01
-8.212000000000e-11,1.777900000000e-01
-8.509200000000e-11,2.000000000000e-01
3.135100000000e-10,2.222500000000e-01
-1.727600000000e-11,2.444800000000e-01
-7.773600000000e-11,2.667100000000e-01
-6.927300000000e-11,2.889000000000e-01
-1.061700000000e-10,3.111400000000e-01
-2.211100000000e-10,3.333700000000e-01
-7.123100000000e-11,3.556000000000e-01
-9.665500000000e-11,3.778300000000e-01
-1.263600000000e-10,4.000700000000e-01
3.269600000000e-11,4.223000000000e-01
8.831300000000e-11,4.444900000000e-01
1.223900000000e-10,4.667300000000e-01
4.553700000000e-10,4.889500000000e-01
8.262300000000e-10,5.111900000000e-01
1.146300000000e-09,5.334200000000e-01
1.869300000000e-09,5.556500000000e-01
2.756800000000e-09,5.778400000000e-01
5.211100000000e-09,6.000700000000e-01
7.670000000000e-09,6.223000000000e-01
1.123000000000e-08,6.445300000000e-01
1.591300000000e-08,6.667600000000e-01
2.218700000000e-08,6.889900000000e-01
3.072100000000e-08,7.112200000000e-01
4.228500000000e-08,7.334000000000e-01
5.656000000000e-08,7.556400000000e-01
7.617500000000e-08,7.778600000000e-01
1.026900000000e-07,8.000900000000e-01
1.385500000000e-07,8.223200000000e-01
1.880700000000e-07,8.445400000000e-01
2.596600000000e-07,8.667400000000e-01
3.601400000000e-07,8.889600000000e-01
5.148200000000e-07,9.111900000000e-01
7.816800000000e-07,9.334200000000e-01
1.270100000000e-06,9.556500000000e-01
2.227600000000e-06,9.778800000000e-01
4.111500000000e-06,1.000100000000e+00
7.727700000000e-06,1.022300000000e+00
1.418700000000e-05,1.044500000000e+00
2.464400000000e-05,1.066800000000e+00
3.993500000000e-05,1.089000000000e+00
6.052500000000e-05,1.111200000000e+00
8.672900000000e-05,1.133400000000e+00
1.189100000000e-04,1.155600000000e+00
1.578100000000e-04,1.177900000000e+00
2.040800000000e-04,1.200100000000e+00
2.585100000000e-04,1.222300000000e+00
3.218800000000e-04,1.244500000000e+00
3.949800000000e-04,1.266800000000e+00
4.785900000000e-04,1.289000000000e+00
5.741000000000e-04,1.311200000000e+00
6.826500000000e-04,1.333400000000e+00
8.056100000000e-04,1.355600000000e+00
9.445200000000e-04,1.377900000000e+00
1.101300000000e-03,1.400100000000e+00
1.277900000000e-03,1.422300000000e+00
1.476800000000e-03,1.444500000000e+00
1.700800000000e-03,1.466700000000e+00
1.952700000000e-03,1.488900000000e+00
2.234800000000e-03,1.511200000000e+00
2.550200000000e-03,1.533400000000e+00
2.901500000000e-03,1.555600000000e+00
3.290800000000e-03,1.577800000000e+00
3.722100000000e-03,1.600000000000e+00
4.197600000000e-03,1.622300000000e+00
4.720200000000e-03,1.644500000000e+00
5.292400000000e-03,1.666700000000e+00
5.916800000000e-03,1.688900000000e+00
6.596400000000e-03,1.711200000000e+00
7.331800000000e-03,1.733400000000e+00
8.128200000000e-03,1.755600000000e+00
8.986800000000e-03,1.777800000000e+00
9.909500000000e-03,1.800000000000e+00
1.089900000000e-02,1.822300000000e+00
1.195500000000e-02,1.844500000000e+00
1.308000000000e-02,1.866700000000e+00
1.427800000000e-02,1.888900000000e+00
1.555000000000e-02,1.911100000000e+00
1.689600000000e-02,1.933300000000e+00
1.831700000000e-02,1.955600000000e+00
1.981600000000e-02,1.977800000000e+00
2.139000000000e-02,2.000000000000e+00
2.303400000000e-02,2.022100000000e+00
2.477000000000e-02,2.044300000000e+00
2.658900000000e-02,2.066600000000e+00
2.849000000000e-02,2.088900000000e+00
3.047300000000e-02,2.111100000000e+00
3.254200000000e-02,2.133400000000e+00
3.469300000000e-02,2.155600000000e+00
3.692800000000e-02,2.177900000000e+00
3.921200000000e-02,2.199800000000e+00
