#####################
#
# measurement of 123
#
#date 25-Jun-2025, 12:14:03
#Keithley source real
#Source in voltage injection mode
#
#
#Set value for time check 1.0 V
#
#Limit for step 0.1 A
#Measurement stabilization period is1e-05 ms
#NPLC value 20.0 ms (for detected line frequency 50 Hz is 1.0)
#
#
#Continuous operation of the source with step time settings['timestep'] 
#
#
#
#
#
#
#
#
#Comment: 12345
#
#
#
#
#Source not in HighC mode (normal operation)
#
#
#
#
#
#
#
#
#
#Timer set for 0.2 minutes
#Sourse in 2 point measurement mode
#
stime, IS, VS
2.226829528809e-04,-5.920200000000e-11,1.080000000000e-05
1.045593500137e+00,-1.481500000000e-10,2.223900000000e-02
2.090708971024e+00,-1.089200000000e-10,4.446000000000e-02
3.156654834747e+00,-1.231500000000e-10,6.667900000000e-02
4.207150220871e+00,-1.028900000000e-10,8.890300000000e-02
5.241862058640e+00,-1.080600000000e-10,1.111300000000e-01
6.285686492920e+00,-8.612000000000e-11,1.333500000000e-01
7.381435394287e+00,-8.341100000000e-11,1.555700000000e-01
8.434979915619e+00,-8.212000000000e-11,1.777900000000e-01
9.492282867432e+00,-8.509200000000e-11,2.000000000000e-01
1.054317283630e+01,3.135100000000e-10,2.222500000000e-01
1.159515452385e+01,-1.727600000000e-11,2.444800000000e-01
1.268580484390e+01,-7.773600000000e-11,2.667100000000e-01
