#####################
#
# measurement of test sample
#
#date 26-Jun-2025, 13:38:52
#Keithley source not
#Source in voltage injection mode
#
#
#Set value for time check 1.0 V
#
#Limit for step 0.1 A
#Measurement acquisition period is done in AUTO mode
#NPLC value 20.0 ms (for detected line frequency 50 Hz is 1.0)
#
#
#Continuous operation of the source with step time settings['timestep'] 
#
#
#
#
#
#
#
#
#Comment: Some very long comment
#
#
#
#
#Source not in HighC mode (normal operation)
#
#
#
#
#
#
#
#
#
#Timer set for 0.5 minutes
#Sourse in 2 point measurement mode
#
stime, IS, VS
1.218318939209e-04,-5.920200000000e-11,1.080000000000e-05
1.047970771790e+00,-1.481500000000e-10,2.223900000000e-02
2.087620735168e+00,-1.089200000000e-10,4.446000000000e-02
3.135841369629e+00,-1.231500000000e-10,6.667900000000e-02
4.191531419754e+00,-1.028900000000e-10,8.890300000000e-02
5.244332790375e+00,-1.080600000000e-10,1.111300000000e-01
6.293961524963e+00,-8.612000000000e-11,1.333500000000e-01
7.344978809357e+00,-8.341100000000e-11,1.555700000000e-01
8.422074079514e+00,-8.212000000000e-11,1.777900000000e-01
9.472854614258e+00,-8.509200000000e-11,2.000000000000e-01
1.052667903900e+01,3.135100000000e-10,2.222500000000e-01
1.161070132256e+01,-1.727600000000e-11,2.444800000000e-01
1.266141605377e+01,-7.773600000000e-11,2.667100000000e-01
1.371653509140e+01,-6.927300000000e-11,2.889000000000e-01
1.476381182671e+01,-1.061700000000e-10,3.111400000000e-01
1.581111836433e+01,-2.211100000000e-10,3.333700000000e-01
1.686161565781e+01,-7.123100000000e-11,3.556000000000e-01
1.791143345833e+01,-9.665500000000e-11,3.778300000000e-01
1.898270869255e+01,-1.263600000000e-10,4.000700000000e-01
2.003041100502e+01,3.269600000000e-11,4.223000000000e-01
2.107882618904e+01,8.831300000000e-11,4.444900000000e-01
2.211905384064e+01,1.223900000000e-10,4.667300000000e-01
2.316254901886e+01,4.553700000000e-10,4.889500000000e-01
2.421458458900e+01,8.262300000000e-10,5.111900000000e-01
2.529407644272e+01,1.146300000000e-09,5.334200000000e-01
2.633797192574e+01,1.869300000000e-09,5.556500000000e-01
2.738450002670e+01,2.756800000000e-09,5.778400000000e-01
2.842627763748e+01,5.211100000000e-09,6.000700000000e-01
2.947290778160e+01,7.670000000000e-09,6.223000000000e-01
3.052678990364e+01,1.123000000000e-08,6.445300000000e-01
